username,like_count,comment_count,created_at,code_potst,text,profile_pic_url
itbearyoutube,30,2,2019-05-08 22:09:36,BxN8Ei1jhZ-,Primer lugar y trabajando.  #pubg #pubgmobile #pubgmemes #fortnite #pubgfunny #gaming #pubgmobileindonesia #game #pubgclips #pubgm #pubgindonesia #battleroyale #pubgmeme #pubgvideos #freefire #gamer #pubgindia #pubgpc #pubgmoments #games #pubgturkiye #freefireindonesia,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/60285593_2599133176868751_5190100854358007740_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=124cd8e47c9e8c345db987e5f0578ad4&oe=5DF7DE51&ig_cache_key=MjAzOTU1MDQwMTM0MzAwMjIzOA%3D%3D.2
itbearyoutube,191,0,2019-05-05 17:24:01,BxFtAUMjqx5,Vamos te espero.  #followforfollowback #follow4followback #follow #followers #likeforfollow #followｍe,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/59875842_2134567109932259_6591162433547864224_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=533a008d75a4675d374a31b95e9af459&oe=5E15977D&ig_cache_key=MjAzNzIzMjM0MDIzMzUzMDQ4OQ%3D%3D.2
itbearyoutube,65,4,2019-05-05 13:01:05,BxFO6dej1gT,Te gusta jugar dino chrome? Quieres sorprender a tus amigos?  Quieres tener el score mas alto?  Visita mi canal y descubrelo.  #tuto #tutoriales #dinochrome #chromedino #sunday #hack,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/59841403_133637837789172_1875258687552394140_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=1bc33ee635e1757e19225882ec794647&oe=5DF2C418&ig_cache_key=MjAzNzA5OTk5NjQ4NzA0NzE4Nw%3D%3D.2
itbearyoutube,24,0,2019-05-04 11:49:17,BxCh5vajELd,,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/59638036_1005436566318878_3442042392033256454_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=572de3d10f46c16f7542d7c816e3c591&oe=5DF5A21A&ig_cache_key=MjAzNjMzOTA4NDk4MTE5MTM4OQ%3D%3D.2
itbearyoutube,39,1,2019-05-04 03:14:31,BxBm_f0jK7b,quieres saber cuantos likes y comentarios tienen tus publicaciones   te gusta python   aqui te enseño una manera fácil y rapida de obtener estas metricas  visita mi canal que esta en mi perfil para descubrirlo.  #python #pythonofinstagram #tutoriales #video #videos #youtuber #youtube #instagrampython #scrapingintospring #scraping #requests,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/58410214_596381610772137_1653573721851279002_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=fbb555ef867c7831eeaf17ef19781f52&oe=5E01CC9D&ig_cache_key=MjAzNjA3OTk5NTgxMDI2Mjc0Nw%3D%3D.2
itbearyoutube,21,2,2019-05-04 02:58:49,BxBlMeUj4dO,Te gusta el minecraft  quieres jugarlo en tu mobil  entra a mi canal y descubre como.  #tuto #tutoriales #minecraftmemes #minecraft #minecraftgamer #youtuber #videos,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/58454055_354138788640401_3768958428128433797_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=1ed12c1e68a3cef6a81211cbbac60579&oe=5E05C9CD&ig_cache_key=MjAzNjA3MjA5MTQ2MDAxMTg1NA%3D%3D.2
itbearyoutube,20,0,2019-05-04 02:47:20,BxBj4dhDPob,Alguna vez has sentido un efecto mandela  anda a mi canal para ver una opinion mia acerca del tema.  #tuto #tutoriales #tutorial #efectomandela #youtuber #videos #video,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/57488027_134285490973445_5179181193142953410_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=a67fc6fe4a52a8421a9910e76cab6b13&oe=5DF46FB1&ig_cache_key=MjAzNjA2NjMxODE1OTc3MjE4Nw%3D%3D.2
itbearyoutube,8,0,2019-05-04 02:40:04,BxBjDO6D3LJ,No sabes como grabar la pantalla de tu cell? Anda a mi canal y lo descubrirás.  #tuto #tutoriales #grabarpantalla #duscreenrecorder #youtuber #screenrecord #androidrecording,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/57987879_667464420352119_1066538435196098763_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=1ca132aa037d68ae78b311bcca6a3f53&oe=5DF15D03&ig_cache_key=MjAzNjA2MjY2MDM0MDk3MDE4NQ%3D%3D.2
itbearyoutube,13,0,2019-05-04 02:38:08,BxBi1CYjQQC,Alguna vez te pegó el juego de dino chrome y no sabias como jugarlo con net? Aqui te muestro como  anda a mi canal y descubrelo.  #tutoriales #tuto #dinochrome #games #trucos #chromedino #chromedinosaur,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/58409472_568533340300813_1577423521514495153_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=fc8f167baac4c46758cdea1210dc03ad&oe=5DF7732F&ig_cache_key=MjAzNjA2MTY4NDgyMTE5NzgyNg%3D%3D.2
itbearyoutube,14,0,2019-05-04 02:36:15,BxBinM2jwxZ,Te llama la atencion? Gatos que dan miedo  aqui te muestro una pagina interesante. Anda a mi canal para mas detalle.  #tutoriales #tuto #fotosramdom #catsofinstagram #thiscatdoesntexisteither,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/58720001_665917373863174_3145327332840263074_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=e567bb48a071a41147d4942c8920ae2a&oe=5DFFE48B&ig_cache_key=MjAzNjA2MDczMzk4OTM5MTQ0OQ%3D%3D.2
itbearyoutube,51,0,2019-05-04 02:26:09,BxBhdRxjHYV,Quieres ver como thanos desaparece google jejej  mira el video en mi canal .  #thanos #thanosgoogle #googleeasteregg #thanosavengers #tutoriales,https://instagram.fgye2-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s750x750/57403927_331489484231253_6179849504360518586_n.jpg?_nc_ht=instagram.fgye2-1.fna.fbcdn.net&oh=617034d4575df6a6e9dd60e40063bb46&oe=5DF8DACB&ig_cache_key=MjAzNjA1NTY1NDAzMjc2NjQ4NQ%3D%3D.2
